Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
19.03.2019;Fracht Cargo;0;;
19.03.2019;Andere Kategorien;47;0;39
20.03.2019;Andere Kategorien;26;0;68
20.03.2019;Fracht Cargo;0;35;2
20.03.2019;Passagierverkehr;17453;1;177
20.03.2019;Fracht Express;0;212;20
21.03.2019;Fracht Cargo;0;;
21.03.2019;Andere Kategorien;20;0;73
21.03.2019;Passagierverkehr;20696;2;202
21.03.2019;Fracht Express;0;218;20
22.03.2019;Fracht Cargo;0;48;2
22.03.2019;Passagierverkehr;25655;3;220
22.03.2019;Fracht Express;0;145;13
22.03.2019;Andere Kategorien;15;0;123
23.03.2019;Fracht Express;0;41;4
23.03.2019;Fracht Cargo;0;75;4
23.03.2019;Passagierverkehr;20585;2;176
23.03.2019;Andere Kategorien;26;0;70
24.03.2019;Passagierverkehr;26201;12;206
24.03.2019;Fracht Cargo;0;71;4
24.03.2019;Andere Kategorien;4;0;93
24.03.2019;Fracht Express;0;;
25.03.2019;Passagierverkehr;22687;1;199
25.03.2019;Fracht Express;0;171;13
25.03.2019;Fracht Cargo;0;35;2
25.03.2019;Andere Kategorien;36;0;50
26.03.2019;Fracht Express;0;192;19
26.03.2019;Fracht Cargo;0;;
26.03.2019;Passagierverkehr;18549;1;185
26.03.2019;Andere Kategorien;18;0;65
27.03.2019;Fracht Express;0;190;18
27.03.2019;Fracht Cargo;0;43;2
27.03.2019;Andere Kategorien;27;0;55
27.03.2019;Passagierverkehr;17201;1;167
28.03.2019;Passagierverkehr;21065;1;191
28.03.2019;Fracht Express;0;225;21
28.03.2019;Andere Kategorien;11;0;70
28.03.2019;Fracht Cargo;0;;
29.03.2019;Passagierverkehr;25976;1;222
29.03.2019;Fracht Express;0;161;14
29.03.2019;Fracht Cargo;0;50;2
29.03.2019;Andere Kategorien;17;0;89
30.03.2019;Passagierverkehr;20533;3;170
30.03.2019;Fracht Cargo;0;96;4
30.03.2019;Andere Kategorien;2;0;73
30.03.2019;Fracht Express;0;35;4
31.03.2019;Passagierverkehr;29218;1;230
31.03.2019;Fracht Cargo;0;65;4
31.03.2019;Andere Kategorien;0;0;63
31.03.2019;Fracht Express;0;;
01.04.2019;Fracht Cargo;0;47;2
01.04.2019;Fracht Express;0;162;12
01.04.2019;Andere Kategorien;19;0;46
01.04.2019;Passagierverkehr;23891;0;222
02.04.2019;Fracht Express;0;195;20
02.04.2019;Fracht Cargo;0;;
02.04.2019;Passagierverkehr;19377;0;215
02.04.2019;Andere Kategorien;4;0;48
03.04.2019;Fracht Cargo;0;53;2
03.04.2019;Passagierverkehr;20624;1;218
03.04.2019;Andere Kategorien;23;0;19
03.04.2019;Fracht Express;0;214;20
04.04.2019;Fracht Express;0;211;22
04.04.2019;Fracht Cargo;0;;
04.04.2019;Passagierverkehr;22853;0;208
04.04.2019;Andere Kategorien;11;0;17
05.04.2019;Passagierverkehr;28343;0;236
05.04.2019;Fracht Express;0;157;14
05.04.2019;Fracht Cargo;0;48;2
05.04.2019;Andere Kategorien;21;0;34
06.04.2019;Fracht Express;0;35;4
06.04.2019;Andere Kategorien;4;0;44
06.04.2019;Passagierverkehr;24369;0;196
06.04.2019;Fracht Cargo;0;88;4
